CharlieID,PassengerID,Balance,TransactionID,CardNumber,CVV,ExpirationDate
9401450153,1,984,720,,943,10/8/28
6982907376,2,853,583,,682,4/22/26
5494104559,3,586,368,5.04837E+15,406,8/24/23
7346731719,4,349,698,,345,12/14/30
1034882325,5,531,934,,522,9/14/22
5137161136,6,794,820,,593,12/24/29
8386076895,7,537,289,5.10876E+15,988,8/10/24
602782198,8,812,209,,836,10/16/26
7589210757,9,731,460,5.10876E+15,975,11/17/23
8528453405,10,417,662,,558,1/31/27
3420321503,11,142,259,,707,3/10/22
1122634102,12,120,538,,263,6/29/27
6416147904,13,328,486,,763,12/15/27
1288715099,14,867,401,,911,8/27/27
7341155833,15,698,179,5.10876E+15,514,10/12/29
3968416155,16,646,693,,257,2/12/30
4492347526,17,913,480,,368,12/24/25
147415063,18,551,424,5.10876E+15,261,4/1/24
3372199669,19,820,263,,381,4/18/21
9736824756,20,170,586,,962,6/8/30
4411895730,21,857,226,,611,12/4/26
574649069,22,930,215,5.04838E+15,294,3/15/21
8764105253,23,619,477,,702,5/3/22
2774839122,24,351,176,,567,11/7/21
7372731070,25,956,666,,444,8/6/30
9077871756,26,548,421,,354,6/5/27
2509504630,27,911,997,,160,11/24/22
6612238933,28,785,652,5.04837E+15,236,6/15/22
6023931243,29,430,950,,221,5/2/24
2565397666,30,559,265,,264,9/4/22
1616236353,31,589,426,,432,8/29/29
6871567860,32,100,618,5.04837E+15,204,4/22/21
9518240957,33,254,183,,247,6/29/29
7211301643,34,40,671,,843,8/30/27
1222927195,35,275,136,,675,12/1/23
4341040995,36,830,277,5.04837E+15,309,7/11/27
6413294485,37,985,337,,594,5/13/22
1695416260,38,750,245,,722,2/21/29
1482774321,39,212,854,,654,4/24/28
1305880641,40,364,975,,897,3/22/26
627884121,41,811,324,,796,1/8/28
4870565250,42,214,358,,689,6/26/30
1677548401,43,607,568,,831,11/30/25
4967977537,44,446,450,,879,9/28/28
3949503498,45,560,131,,247,12/1/27
8700664170,46,165,643,5.10876E+15,405,6/8/23
735366683,47,565,324,,450,2/24/22
8775834170,48,47,747,5.04837E+15,575,8/5/30
4206444528,49,128,666,,853,1/7/29
1449830587,50,572,206,,246,1/15/21
8740079775,51,71,170,5.04838E+15,403,9/6/23
4790560198,52,846,867,5.10876E+15,740,12/4/21
3561938019,53,163,558,,247,11/7/22
278552668,54,18,401,,593,11/22/29
6302421438,55,881,802,,485,4/13/28
3456448872,56,87,872,5.10875E+15,926,1/1/25
1652795227,57,496,529,,518,9/2/28
9814431621,58,252,602,5.04837E+15,263,12/19/26
6675210564,59,273,497,,229,4/21/29
6235656548,60,413,731,5.04837E+15,729,4/8/28
2390391540,61,753,289,,736,4/20/22
2742820930,62,218,694,,338,7/25/23
3494289867,63,549,804,,156,3/27/25
2140260279,64,50,861,,813,2/24/23
8965080924,65,517,362,,722,6/18/28
8633134020,66,615,261,,692,8/7/24
8125404740,67,635,101,5.10876E+15,226,11/23/21
583573169,68,830,248,,254,3/27/26
184094674,69,373,570,,338,6/22/22
2254450999,70,562,242,,168,7/15/22
8815414886,71,663,330,,763,6/8/25
2964270910,72,661,859,,126,3/19/27
4534022506,73,282,277,,868,3/16/21
2916379843,74,196,831,,369,1/9/22
9278400300,75,993,739,5.04838E+15,163,5/5/28
4358692532,76,679,499,,665,9/22/23
7060043616,77,325,743,,375,7/22/30
4991633648,78,894,402,,698,11/9/22
3677561345,79,529,296,,344,3/1/24
7201879901,80,546,211,,912,9/23/28
6831168043,81,66,823,5.04838E+15,214,8/8/22
3376485003,82,519,164,,464,12/19/21
8038437381,83,90,282,,865,2/22/21
1875796622,84,474,409,,918,7/28/26
5575819752,85,361,133,,169,1/14/22
2141586518,86,389,743,,466,5/14/29
4711116478,87,743,840,,797,7/9/24
4226246454,88,86,283,,355,11/6/22
3342443227,89,811,717,,249,2/23/23
3168086118,90,349,833,,378,11/28/29
8273204669,91,164,419,,779,6/21/27
3903165921,92,731,362,5.04837E+15,919,6/30/24
9097807247,93,284,324,,975,4/5/24
9021972654,94,513,453,5.10875E+15,438,9/10/23
3387507194,95,22,119,,624,11/11/22
116103582,96,181,236,,405,3/7/24
144445662,97,64,756,,818,11/9/25
7060273085,98,470,212,5.04838E+15,176,1/29/25
2956152270,99,515,737,,999,4/10/26
1491004924,100,999,703,5.04837E+15,372,4/3/23
7739651923,101,945,358,,135,5/10/21
8538254758,102,906,341,,823,2/22/28
7232897979,103,214,244,,524,5/14/22
5905715394,104,491,721,,135,4/26/29
900255226,105,848,439,,657,11/22/25
8259009722,106,792,563,,467,11/4/29
457619252,107,71,586,5.04837E+15,274,5/10/22
8369296416,108,351,460,,733,1/6/26
9824465871,109,462,921,,689,1/18/27
7438188485,110,387,290,5.10876E+15,124,1/4/22
4510796064,111,819,553,,103,10/2/29
120280299,112,836,727,,496,4/13/26
605521905,113,777,339,5.04837E+15,685,11/22/24
7406860560,114,505,210,5.10875E+15,331,11/30/27
4452698026,115,982,812,,191,11/16/24
5714513509,116,244,288,,766,8/28/30
4979980252,117,11,826,,848,5/8/29
289404924,118,726,618,,644,4/19/27
767533925,119,618,300,5.04837E+15,841,12/26/22
2657995659,120,542,237,5.04837E+15,235,6/9/28
9741472137,121,224,244,,209,3/15/21
9949592445,122,64,388,,498,3/24/22
9997666879,123,699,854,5.04838E+15,461,8/31/22
6946667743,124,645,212,,651,7/17/27
4897075610,125,552,225,,302,9/28/25
3515280820,126,527,837,,148,5/1/21
5396063165,127,215,363,5.04837E+15,577,6/18/24
7731064727,128,476,851,,393,7/3/23
861544110,129,913,320,,409,4/29/25
4063591506,130,547,999,,390,8/28/27
3505281786,131,694,420,,448,1/10/21
5928242360,132,636,214,5.04838E+15,499,11/24/22
9419365166,133,453,538,,398,9/9/22
1413699324,134,386,810,5.04837E+15,274,9/28/25
898056020,135,837,401,,653,7/23/25
9810996314,136,232,572,5.04838E+15,399,8/11/27
1583624821,137,353,648,,852,9/5/23
8273012379,138,123,329,5.10875E+15,660,2/3/24
689365608,139,323,676,,793,10/10/23
722265050,140,95,578,,358,1/8/23
4318040593,141,315,100,,103,7/8/26
6219799429,142,161,388,,133,11/30/24
1839719893,143,568,166,,306,3/22/28
6561695704,144,182,992,,322,11/22/30
2277975249,145,535,873,,152,10/27/30
2111611751,146,461,692,,185,5/16/23
3124099559,147,543,376,,831,3/9/27
9478702211,148,104,723,,381,1/7/23
7958175337,149,595,936,,590,10/10/21
4363709022,150,296,327,,365,10/27/21
9238828008,151,154,521,,561,9/30/25
5907760664,152,372,795,,580,5/11/26
3718872544,153,944,343,,145,5/6/22
4400376648,154,199,308,,718,12/21/28
8667490067,155,273,625,5.10876E+15,117,4/3/27
1211492524,156,197,431,,337,10/9/29
9239972242,157,156,489,5.10876E+15,724,10/6/27
8581370381,158,553,959,,805,8/9/28
976237423,159,78,783,,173,12/1/28
239514580,160,339,194,,636,7/10/27
9679551016,161,148,316,,800,10/29/29
2348598469,162,708,346,,540,7/7/30
4003474252,163,511,105,,452,7/22/25
2974073387,164,444,448,,363,7/12/28
3130373489,165,55,958,,128,8/5/26
9260411955,166,331,431,,905,12/4/28
7619466789,167,540,873,5.10875E+15,787,12/17/21
993679226,168,692,241,,592,8/28/22
4833067242,169,932,507,,186,5/2/27
4974881604,170,697,623,,250,5/1/30
2369371994,171,968,240,,254,8/15/21
3902830018,172,555,579,,254,11/14/26
8958103884,173,31,503,,992,1/29/22
8328319454,174,492,232,5.04838E+15,922,2/12/21
4288367212,175,610,987,,676,7/19/26
8292755276,176,711,657,,979,8/9/21
2473369151,177,924,818,5.04838E+15,961,12/25/28
2050159595,178,472,167,,109,1/7/24
8892846329,179,60,737,,326,12/28/29
1287721095,180,383,990,,545,8/9/21
1192915429,181,941,213,,137,8/30/23
960477055,182,708,451,,510,4/19/22
129483702,183,381,948,,183,8/5/29
1197932216,184,418,820,,897,12/7/26
7694908998,185,751,581,5.04838E+15,637,11/20/24
